domain,guideline,vignette,item_author_notes,validator_guideline,validator_notes,question_type,hypothesis,new_information,effect_phrase,options,author_notes,validator_selected_option
Celiac_Disease,american,"A 42-year-old woman returns for follow-up one year after being diagnosed with celiac disease. Her initial diagnosis was confirmed with a tissue transglutaminase (tTG)-IgA level of 150 U/mL (ULN <15 U/mL) and a duodenal biopsy showing Marsh 3b villous atrophy. She immediately consulted a registered dietitian and reports strict adherence to a gluten-free diet (GFD). Despite these efforts, she continues to experience persistent bloating, intermittent non-bloody diarrhea (2-3 times per day), and significant fatigue, which affects her quality of life. Her repeat tTG-IgA level has decreased but remains elevated at 25 U/mL. Her complete blood count is normal, with a hemoglobin of 12.5 g/dL, and her iron studies are now within the normal range. She feels frustrated and is questioning the effectiveness of the diet. You are considering the next steps in evaluating her non-responsive celiac disease.","This item explores the differential diagnosis and management of non-responsive celiac disease, a common clinical challenge. It tests the ability to consider ongoing gluten exposure versus other co-existing conditions.",,,diagnosis,a co-existing diagnosis of microscopic colitis to explain her persistent diarrhea.,a colonoscopy with random biopsies reveals a thickened subepithelial collagen band and increased intraepithelial lymphocytes.,this hypothesis becomes,"+2, +1, 0, -1, -2","These are the classic histological findings for collagenous colitis, a form of microscopic colitis. This finding strongly confirms the co-existing diagnosis. (+2)",
,,,,,,management,initiating a trial of oral budesonide for suspected refractory disease.,a comprehensive dietary review reveals frequent inadvertent cross-contamination from shared kitchen appliances at home.,this action becomes,"+2, +1, 0, -1, -2",The most common cause of non-responsive CD is ongoing gluten exposure. Identifying this makes steroids inappropriate; the focus should be on stricter dietary adherence. (-2),
,,,,,,followup,scheduling a repeat upper endoscopy with biopsies to assess for refractory celiac disease.,"the patient admits to occasional intentional gluten consumption, believing 'a little won't hurt'.",this plan becomes,"+2, +1, 0, -1, -2","Refractory CD is a diagnosis of exclusion after confirming strict GFD adherence. With known non-adherence, an invasive procedure is less appropriate than re-education. (-1)",
Celiac_Disease,american,"A 28-year-old female was diagnosed with celiac disease one year ago based on a high IgA tissue transglutaminase (tTG) antibody level (>10x upper limit of normal) and a duodenal biopsy showing Marsh 3b villous atrophy. She was counselled by a dietitian and initiated a strict gluten-free diet (GFD). She initially reported significant improvement in her symptoms of bloating, diarrhea, and fatigue. However, over the past four months, her symptoms have gradually returned despite her insistence that she is meticulously following the diet. A repeat IgA tTG level is 45 U/mL (previously >250 U/mL; normal <15 U/mL). Her hemoglobin is stable at 12.5 g/dL. She is frustrated and concerned that the diet is no longer working, questioning if she might have a more severe or different condition. She feels her quality of life has deteriorated again and is seeking further evaluation and management options.","This case assesses the evaluation of non-responsive celiac disease. The key principle is to exhaustively investigate for ongoing gluten exposure, the most common cause, before considering a diagnosis of refractory disease or initiating advanced therapies.",,,diagnosis,a diagnosis of refractory celiac disease.,A detailed dietary history reveals she regularly eats french fries cooked in a shared fryer at a local restaurant.,this hypothesis becomes,"+2, +1, 0, -1, -2","This finding strongly suggests ongoing gluten exposure from cross-contamination. This is the most common cause of non-responsive symptoms, making the diagnosis of refractory disease much less likely. (-2)",
,,,,,,management,"proceeding directly to a trial of immunosuppressive therapy, such as budesonide.","She reveals that her roommate bakes with regular flour in their small, shared kitchen, without separate utensils.",this plan becomes,"+2, +1, 0, -1, -2","This information identifies a significant source of ongoing gluten exposure. The priority is intensive dietary and environmental counseling, not immunosuppression, which is reserved for true refractory disease. (-2)",
,,,,,,followup,scheduling a repeat upper endoscopy with duodenal biopsies in the next month.,A comprehensive review with a dietitian identifies several sources of unintentional gluten ingestion in her diet.,this plan becomes,"+2, +1, 0, -1, -2","With clear dietary lapses identified, the immediate next step is to correct the diet and provide further education. A repeat invasive procedure is less appropriate until adherence is optimized. (-1)",
Celiac_Disease,american,"A 48-year-old woman was diagnosed with celiac disease one year ago after presenting with chronic diarrhea, bloating, and iron deficiency anemia. Her initial workup revealed a tissue transglutaminase (tTG) IgA level of 185 U/mL (normal <15) and duodenal biopsies showing Marsh 3b villous atrophy. She was counseled by a registered dietitian and initiated a strict gluten-free diet (GFD). At her one-year follow-up, she reports feeling only marginally better, with persistent fatigue, intermittent loose stools, and significant bloating. She insists she is extremely careful about her diet and avoids all gluten-containing products and cross-contamination. Repeat laboratory tests show a hemoglobin of 11.8 g/dL (normal 12-16), ferritin of 15 ng/mL (normal 15-150), and a tTG-IgA of 55 U/mL. She is frustrated with her lack of progress and is concerned about the long-term implications.","This case focuses on the evaluation of non-responsive celiac disease, the most common cause of which is continued gluten exposure. It tests the ability to prioritize diagnostic and management steps when faced with persistent symptoms despite reported dietary adherence.",european,"The item is clinically sound and aligns well with the European guideline's approach to non-responsive celiac disease (NRCD). The guideline emphasizes that ongoing gluten exposure is the most common cause, making investigations for refractory disease or other conditions inappropriate until adherence is confirmed. This principle directly informs the responses. There are no significant differences in reasoning compared to the American guideline perspective for this specific clinical scenario.",diagnosis,a diagnosis of refractory celiac disease type I.,A detailed dietary review reveals frequent unintentional gluten cross-contamination from shared kitchen appliances.,this hypothesis becomes,"+2, +1, 0, -1, -2",The most common cause of non-responsive celiac disease is ongoing gluten exposure. Identifying a clear source makes a diagnosis of refractory celiac disease highly unlikely. (-2),-2.0
,,,,,,management,"ordering tests for SIBO, lactose intolerance, and microscopic colitis.","Her repeat tTG-IgA comes back at 190 U/mL, even higher than her level at diagnosis one year ago.",this plan becomes,"+2, +1, 0, -1, -2","A rising tTG-IgA level is a strong indicator of significant, ongoing gluten ingestion. This makes investigating alternative diagnoses less appropriate until dietary adherence is definitively addressed. (-1)",-2.0
,,,,,,followup,"scheduling a follow-up in one year with repeat serology, as some patients take longer to respond.",Her adult daughter was recently diagnosed with Type 1 diabetes and is being screened for celiac disease.,this plan becomes,"+2, +1, 0, -1, -2",The daughter's new diagnosis is relevant for family screening but does not change the clinical urgency for the patient. A 'wait and see' approach remains suboptimal given her symptoms and labs. (0),0.0
Celiac_Disease,american,"A 42-year-old woman returns for a one-year follow-up after being diagnosed with celiac disease. The initial diagnosis was established based on a tissue transglutaminase (tTG) IgA level >250 U/mL (normal <15 U/mL) and duodenal biopsies showing Marsh 3b villous atrophy. She reports diligently following a strict gluten-free diet (GFD) and has consulted online resources extensively. Despite her efforts, she continues to experience persistent bloating, fatigue, and intermittent loose stools, though her symptoms are milder than at diagnosis. She feels frustrated with her lack of complete recovery. A repeat tTG-IgA level today is 45 U/mL, significantly lower than her initial value but still elevated. Her total IgA level is normal. She is otherwise healthy with no other significant medical history. You are considering the next steps in managing her non-responsive symptoms.",This item focuses on the evaluation of non-responsive celiac disease. It emphasizes that the most common cause is persistent gluten exposure and that a thorough dietary review should precede invasive testing for refractory disease.,british,"The item aligns well with British Society of Gastroenterology guidelines. The core principles for managing non-responsive celiac disease—prioritizing a thorough dietary review with a specialist dietitian to rule out inadvertent gluten exposure before considering refractory disease—are congruent. Both guidelines emphasize screening for nutritional deficiencies, making the follow-up plan essential. There are no significant deviations from the author's intended reasoning from a British perspective.",diagnosis,ongoing gluten exposure as the primary cause of her symptoms.,She admits to using the same toaster as her family for her gluten-free bread and frequently eats french fries from restaurant fryers.,this hypothesis becomes,"+2, +1, 0, -1, -2","These are classic sources of significant cross-contamination, which constitutes ongoing gluten exposure. This information makes the hypothesis virtually certain. (+2)",2.0
,,,,,,management,scheduling a repeat endoscopy with biopsies to evaluate for refractory celiac disease.,The patient has not yet had a formal consultation with a dietitian experienced in celiac disease management.,this action becomes,"+2, +1, 0, -1, -2",Refractory celiac disease is a diagnosis of exclusion. The first step for non-responsive disease is a formal dietary review to rule out inadvertent gluten intake. Endoscopy is premature. (-2),-2.0
,,,,,,followup,"checking for common nutritional deficiencies such as iron, vitamin D, and B12 at this one-year visit.",Her initial diagnostic workup one year ago revealed significant iron deficiency anemia and low vitamin D levels.,this plan becomes,"+2, +1, 0, -1, -2","Given her history of deficiencies at diagnosis and persistent symptoms suggesting ongoing malabsorption, re-evaluating her nutritional status is essential and highly appropriate. (+2)",2.0
Celiac_Disease,american,"A 34-year-old woman with a 10-year history of well-controlled type 1 diabetes presents with six months of intermittent diarrhea, bloating, and an unintentional 5 kg weight loss. She also reports significant fatigue impacting her daily activities. Her initial laboratory workup reveals a microcytic anemia with a hemoglobin of 10.8 g/dL (normal 12-16 g/dL) and a low ferritin level of 12 ng/mL (normal 15-150 ng/mL). A comprehensive metabolic panel is otherwise unremarkable. Given her history of type 1 diabetes and presenting symptoms, celiac disease is high on the differential diagnosis. A serological screen is performed, showing a tissue transglutaminase IgA (tTG-IgA) level of 2 U/mL (normal <15 U/mL). A total serum IgA level is also measured and comes back at 18 mg/dL (normal 70-400 mg/dL), indicating selective IgA deficiency. The patient is anxious for a clear diagnosis and management plan.","This case focuses on the diagnostic pitfall of selective IgA deficiency in a high-risk patient (type 1 diabetes). It tests the correct interpretation of serology, the prerequisites for biopsy, and the management of serologic non-response during follow-up.",,,diagnosis,ruling out celiac disease due to the negative tTG-IgA test result.,an IgG-based deamidated gliadin peptide (DGP-IgG) test comes back strongly positive at 150 U/mL (normal <20 U/mL).,this hypothesis becomes,"+2, +1, 0, -1, -2","In patients with IgA deficiency, IgA-based serology like tTG-IgA is falsely negative. A positive IgG-based test is the appropriate alternative and makes celiac disease highly likely. Therefore, ruling out the diagnosis becomes completely inappropriate. (-2)",
,,,,,,management,proceeding directly to an upper endoscopy with duodenal biopsies for diagnostic confirmation.,the patient reveals she independently started a strict gluten-free diet three weeks ago after reading about her symptoms online.,this plan becomes,"+2, +1, 0, -1, -2","Initiating a gluten-free diet before biopsy can lead to mucosal healing and a false-negative result (normal histology). Proceeding directly is now inappropriate without a formal gluten challenge, which would be needed to ensure diagnostic accuracy. (-2)",
,,,,,,followup,scheduling annual follow-up with repeat serology to monitor dietary adherence.,"one year after diagnosis and starting a GFD, her symptoms are resolved but her DGP-IgG titer remains elevated.",this plan becomes,"+2, +1, 0, -1, -2","Persistent positive serology, even with clinical improvement, suggests ongoing gluten exposure, which is the most common cause of non-responsive disease. Continued close follow-up and monitoring is essential to investigate the source of gluten and prevent complications. (+2)",
Celiac_Disease,american,"A 38-year-old woman was diagnosed with celiac disease two years ago based on a tTG-IgA level >250 U/mL (ULN <15 U/mL) and a duodenal biopsy showing Marsh 3b villous atrophy. She immediately adopted a strict gluten-free diet (GFD) after consulting with a specialized dietitian. She reports meticulous avoidance of gluten, including using separate kitchen utensils and reading all food labels. Despite her efforts, she continues to experience persistent bloating, intermittent non-bloody diarrhea (2-3 times per week), and significant fatigue, which impacts her quality of life. Her follow-up tTG-IgA level has decreased but remains mildly elevated at 25 U/mL. Her hemoglobin is stable at 12.8 g/dL, but her 25-hydroxyvitamin D level is low at 18 ng/mL (normal >30 ng/mL). She is frustrated with her lack of complete symptomatic improvement and is seeking further evaluation for her persistent symptoms.","This item assesses the evaluation of non-responsive celiac disease. The key is to prioritize investigating ongoing gluten exposure, the most common cause, before considering refractory disease or proceeding with invasive tests.",,,diagnosis,a definitive diagnosis of refractory celiac disease type I.,A detailed dietary review reveals frequent consumption of 'gluten-free' oats and dining out at restaurants with high cross-contamination risk.,this hypothesis becomes,"+2, +1, 0, -1, -2",Inadvertent gluten exposure is the most common cause of non-responsive celiac disease. Identifying a clear source of ongoing exposure makes the more serious diagnosis of refractory disease highly unlikely. (-2),
,,,,,,management,proceeding directly to a repeat upper endoscopy with duodenal biopsies.,The patient admits to not having seen a dietitian since her initial diagnosis and is unsure about hidden sources of gluten.,this action becomes,"+2, +1, 0, -1, -2","Before pursuing invasive testing for non-responsive celiac disease, the recommended first step is reinforcing strict dietary adherence with an expert dietitian review. (-1)",
,,,,,,followup,planning to monitor her dietary adherence with annual tTG-IgA testing.,Her symptoms have completely resolved after three months of intensive dietary counseling and eliminating all potential cross-contamination sources.,this plan becomes,"+2, +1, 0, -1, -2","Annual tTG-IgA is the standard method for monitoring dietary adherence. With symptom resolution confirming the issue was non-adherence, this follow-up plan is essential and highly appropriate. (+2)",
Celiac_Disease,american,"A 28-year-old male was diagnosed with celiac disease one year ago after presenting with iron deficiency anemia and bloating. His initial tTG-IgA was >250 U/mL (normal <15 U/mL) and a duodenal biopsy confirmed Marsh 3b villous atrophy. He was counseled by a dietitian and initiated a strict gluten-free diet (GFD), with initial improvement in his symptoms. Over the past four months, however, he has experienced a recurrence of intermittent abdominal cramping, bloating, and fatigue. He insists he is meticulously adherent to his GFD, avoiding all obvious gluten sources and checking labels carefully. A repeat tTG-IgA is now 45 U/mL. His hemoglobin has dropped slightly to 12.8 g/dL (normal 13.5-17.5 g/dL), and his ferritin is 20 ng/mL (normal 30-400 ng/mL). He is frustrated and seeking advice on the next steps for his persistent symptoms despite his best efforts.","This case assesses the clinical approach to non-responsive celiac disease. The key is to systematically evaluate for ongoing gluten exposure, co-existing conditions, and the possibility of refractory disease, especially when alarm symptoms are present.",,,diagnosis,"The primary cause of his persistent symptoms is ongoing, inadvertent gluten exposure from cross-contamination.",A meticulous 7-day food diary reviewed by a specialist dietitian reveals no obvious gluten sources or high-risk cross-contamination practices.,this hypothesis becomes,"+2, +1, 0, -1, -2","While hidden gluten is the most common cause of non-responsive celiac disease, a thorough dietetic review suggesting excellent adherence makes it less likely and prompts consideration of other etiologies. (-1)",
,,,,,,management,Proceeding with a repeat upper endoscopy and duodenal biopsies to investigate for non-responsive or refractory celiac disease.,He now reports new-onset nocturnal diarrhea and an unintentional 5 kg weight loss over the past two months.,this plan becomes,"+2, +1, 0, -1, -2",The development of alarm symptoms in a patient with non-responsive celiac disease makes re-evaluation with endoscopy and biopsy essential to assess for refractory disease or complications like lymphoma. (+2),
,,,,,,followup,Ordering a DEXA scan at this visit to screen for celiac-associated osteoporosis as a next step.,A review of his records shows a DEXA scan was performed at diagnosis one year ago and was entirely normal.,this plan becomes,"+2, +1, 0, -1, -2",Repeating a normal DEXA scan just one year after the initial baseline screen is not indicated. The priority is to investigate the cause of his persistent symptoms and malabsorption. (-2),
Celiac_Disease,american,"A 34-year-old woman with a 15-year history of well-controlled type 1 diabetes mellitus presents to your gastroenterology clinic with a six-month history of intermittent, non-bloody diarrhea, significant bloating, and persistent fatigue. She also reports an unintentional weight loss of 5 kg over this period. She has no family history of inflammatory bowel disease or gastrointestinal malignancy. Her initial laboratory workup, ordered by her primary care physician, revealed a mild microcytic anemia with a hemoglobin of 11.2 g/dL. Specific celiac serology was pursued, showing an elevated IgA tissue transglutaminase (tTG-IgA) level of 85 U/mL (upper limit of normal <15 U/mL). Her total serum IgA level was within the normal range. An upper endoscopy with duodenal biopsies has been performed to confirm the suspected diagnosis, and you are reviewing the complete case to determine the next steps in her care.","This case assesses the nuances of diagnosing and managing celiac disease in a high-risk patient (type 1 diabetes). It explores diagnostic uncertainty with discordant serology/biopsy, management priorities, and comprehensive follow-up beyond serological monitoring.",,,diagnosis,a definitive diagnosis of celiac disease is confirmed.,the duodenal biopsy report shows increased intraepithelial lymphocytes but no villous atrophy (Marsh 1 lesion).,this hypothesis becomes,"+2, +1, 0, -1, -2","While Marsh 1 is abnormal, it is not specific for celiac disease. With positive serology, this finding makes the diagnosis less certain and warrants further consideration, but does not confirm it. (-1)",
,,,,,,management,initiating a strict gluten-free diet and referring to a dietitian.,the patient is very anxious and requests HLA genotyping to 'be absolutely sure' before starting the diet.,this action becomes,"+2, +1, 0, -1, -2",A gluten-free diet is the only treatment. HLA typing has high negative predictive value but does not confirm the diagnosis. Delaying standard therapy for this test is not indicated. (+2),
,,,,,,followup,scheduling annual follow-up with repeat tTG-IgA serology only.,"at diagnosis, her DEXA scan revealed a Z-score of -2.2 at the lumbar spine.",this plan becomes,"+2, +1, 0, -1, -2","This patient has osteoporosis, a significant complication. A follow-up plan must also include monitoring and management of her bone health, making a 'serology only' plan less appropriate. (-1)",
Celiac_Disease,american,"A 34-year-old woman was diagnosed with celiac disease one year ago based on a tTG-IgA level of 150 U/mL (normal <15 U/mL) and a duodenal biopsy showing Marsh 3b changes. She was counselled by a dietitian and initiated a strict gluten-free diet (GFD). She initially reported significant improvement in her chronic diarrhea and bloating. However, over the past four months, she has experienced a recurrence of intermittent loose stools, abdominal cramping, and profound fatigue, despite insisting she is meticulously avoiding all gluten, including cross-contamination. Today, her follow-up labs show a hemoglobin of 10.8 g/dL with a low ferritin of 12 ng/mL. Her repeat tTG-IgA is 45 U/mL. She appears distressed and frustrated with her lack of progress, questioning the effectiveness of the diet.","This item assesses reasoning in non-responsive celiac disease, a common clinical challenge. It tests the ability to prioritize common causes (dietary non-adherence, secondary intolerances) over rarer diagnoses like refractory celiac disease or microscopic colitis.",,,diagnosis,The patient has developed refractory celiac disease type I.,A detailed dietary review with a specialist dietitian reveals frequent unintentional gluten exposure from restaurant meals and shared kitchen appliances.,this hypothesis becomes,"+2, +1, 0, -1, -2",The most common cause of non-responsive celiac disease is inadvertent gluten ingestion. Identifying a clear source of exposure makes the rare diagnosis of refractory celiac disease much less likely. (-2),
,,,,,,management,Ordering a colonoscopy with biopsies to investigate for microscopic colitis.,"The patient reports significant bloating and flatulence after consuming dairy products, a symptom which has worsened since starting her gluten-free diet.",this action becomes,"+2, +1, 0, -1, -2","Secondary lactose intolerance is common in active celiac disease due to damaged villi. This points to a more probable diagnosis to pursue first, making an immediate colonoscopy less appropriate. (-1)",
,,,,,,followup,Planning for a repeat upper endoscopy with biopsies in 3-6 months to assess for histologic improvement.,"After intensive GFD re-education, her tTG-IgA level normalizes and symptoms completely resolve within two months.",this plan becomes,"+2, +1, 0, -1, -2","With complete symptomatic and serologic response to a stricter diet, an invasive procedure like a repeat endoscopy is no longer indicated in the near term and becomes less appropriate. (-1)",
